time_absolute,gpu_util_perc,gpu_mem_used_mb,power_draw_w
1785069773.9038699,82.0,1309.0,255.01
1785069774.9405847,32.0,1835.0,153.58
1785069775.9777443,100.0,6159.0,198.91
1785069777.0168033,100.0,6159.0,351.41
1785069778.05176,100.0,7851.0,221.32
1785069779.0921235,42.0,3915.0,108.92
1785069780.1294656,100.0,7521.0,290.85
1785069781.166131,100.0,7847.0,349.72
1785069782.205711,100.0,7847.0,352.93
1785069783.2492323,100.0,7847.0,346.93
1785069784.2900038,100.0,7847.0,347.55
1785069785.3296607,100.0,7847.0,345.42
1785069786.3643444,100.0,24875.0,223.05
1785069787.4016044,100.0,24875.0,287.31
1785069788.4396474,100.0,581.0,191.65
1785069789.4771044,74.0,6075.0,120.42
1785069790.5167558,100.0,6161.0,345.58
1785069791.553028,81.0,7851.0,235.02
1785069792.5956802,74.0,543.0,159.78
1785069793.6379964,100.0,7521.0,217.0
1785069794.6962657,100.0,7847.0,352.37
1785069795.7334845,100.0,7847.0,345.11
1785069796.7747898,100.0,7847.0,353.25
1785069797.8135884,100.0,7847.0,346.73
1785069798.8529987,100.0,7847.0,345.05
1785069799.8952677,80.0,24877.0,235.41
1785069800.935334,100.0,24877.0,282.5
1785069801.9719884,100.0,529.0,218.6
1785069803.012117,42.0,3479.0,99.56
1785069804.0489075,100.0,6159.0,279.01
1785069805.0927737,70.0,6159.0,279.46
1785069806.132322,42.0,1907.0,163.44
1785069807.1690686,100.0,6159.0,142.43
1785069808.2088184,100.0,6159.0,349.27
1785069809.2484818,100.0,7851.0,217.83
1785069810.2882025,42.0,3173.0,129.19
1785069811.325563,100.0,6159.0,277.87
1785069812.364471,69.0,6159.0,278.74
1785069813.4007072,41.0,1715.0,161.25
1785069814.4373257,100.0,6159.0,142.44
1785069815.4770937,100.0,6159.0,348.24
1785069816.5182981,100.0,7851.0,214.97
1785069817.5562735,42.0,2479.0,145.17
1785069818.5932837,100.0,6159.0,261.34
1785069819.633097,65.0,6159.0,317.39
1785069820.6766737,45.0,1191.0,153.27
1785069821.713071,100.0,6555.0,144.7
1785069822.752586,100.0,6721.0,349.58
1785069823.7888403,100.0,6721.0,351.09
1785069824.829386,71.0,6721.0,302.67
1785069825.873134,100.0,12843.0,225.59
1785069826.91206,42.0,1979.0,131.59
1785069827.9493144,100.0,6721.0,236.15
1785069828.9897282,100.0,6721.0,350.32
1785069830.0291226,100.0,6721.0,348.76
1785069831.0704901,100.0,12843.0,222.66
1785069832.109312,100.0,633.0,221.18
1785069833.153125,47.0,6165.0,107.29
1785069834.1973212,100.0,6721.0,350.68
1785069835.2377214,100.0,6721.0,348.71
1785069836.2768853,67.0,6721.0,308.23
1785069837.3142006,100.0,12843.0,209.68
1785069838.3517933,34.0,415.0,150.13
1785069839.389194,100.0,6721.0,214.54
1785069840.4296908,100.0,6721.0,348.0
1785069841.4695647,100.0,6721.0,349.96
1785069842.507937,74.0,12843.0,233.7
1785069843.543717,22.0,491.0,235.34
1785069844.5802867,42.0,4361.0,96.56
1785069845.6173196,100.0,6721.0,303.66
1785069846.6566563,100.0,6721.0,347.7
1785069847.6931453,100.0,6721.0,349.56
1785069848.7330532,100.0,12843.0,207.6
1785069849.7949905,42.0,2035.0,185.54
1785069850.8339503,100.0,6555.0,163.04
1785069851.8730102,100.0,6721.0,347.52
1785069852.909105,100.0,6721.0,353.7
1785069853.9674408,74.0,5163.0,256.65
1785069855.0084198,100.0,12843.0,247.56
1785069856.0483565,43.0,3155.0,103.29
1785069857.0851188,100.0,6721.0,283.24
1785069858.125772,100.0,6721.0,349.28
1785069859.184562,100.0,6721.0,349.82
1785069860.2232358,100.0,12843.0,215.35
1785069861.264181,43.0,1485.0,196.42
1785069862.3054054,100.0,6555.0,144.49
1785069863.3452566,100.0,6721.0,348.52
1785069864.3850424,100.0,6721.0,351.58
1785069865.4252105,71.0,6721.0,304.0
1785069866.465712,100.0,12843.0,236.05
1785069867.504309,43.0,2481.0,126.93
1785069868.5411959,100.0,6721.0,260.61
1785069869.5814192,100.0,6721.0,349.13
1785069870.6254551,100.0,6721.0,348.09
1785069871.664595,100.0,12843.0,217.06
1785069872.699718,100.0,473.0,221.4
1785069873.7376976,49.0,6159.0,108.7
1785069874.7772255,100.0,6159.0,351.19
1785069875.8200505,76.0,7851.0,226.23
1785069876.8560748,42.0,1401.0,146.39
1785069877.8936796,100.0,6159.0,236.78
1785069878.9370277,100.0,6159.0,347.67
1785069879.97187,100.0,611.0,162.93
1785069881.0099099,57.0,6163.0,114.89
1785069882.049224,100.0,6721.0,353.35
1785069883.0897946,100.0,6721.0,346.01
1785069884.1289275,86.0,6721.0,325.48
1785069885.1653483,100.0,12843.0,219.22
1785069886.1997497,38.0,623.0,157.58
1785069887.237314,100.0,6159.0,201.39
1785069888.2960486,100.0,6159.0,348.15
1785069889.3319051,41.0,471.0,187.29
1785069890.3683014,41.0,5323.0,94.11
1785069891.4052746,100.0,6159.0,328.83
1785069892.4400847,75.0,437.0,234.07
1785069893.4767728,36.0,1835.0,158.27
1785069894.5131438,100.0,6159.0,198.74
1785069895.5542018,100.0,6159.0,350.79
1785069896.6106374,55.0,397.0,189.87
1785069897.6482651,42.0,4919.0,102.28
1785069898.689625,100.0,6721.0,328.33
1785069899.733572,100.0,6721.0,348.68
1785069900.7770844,100.0,6721.0,347.86
1785069901.8205163,100.0,12843.0,200.8
1785069902.8565629,29.0,1883.0,168.73
1785069903.8936644,100.0,7521.0,190.07
1785069904.933642,100.0,7847.0,349.34
1785069905.9687285,100.0,7847.0,347.91
1785069907.0055153,100.0,7847.0,345.72
1785069908.044893,100.0,7847.0,355.73
1785069909.0838196,100.0,7847.0,342.71
1785069910.1203337,63.0,3465.0,259.93
1785069911.1582165,100.0,24877.0,260.8
1785069912.2165475,2.0,433.0,252.14
1785069913.2521937,43.0,2215.0,102.0
1785069914.289681,100.0,7521.0,256.45
1785069915.3297184,100.0,7847.0,349.84
1785069916.3692842,100.0,7847.0,348.05
1785069917.4092188,100.0,7847.0,347.51
1785069918.448342,100.0,7847.0,350.11
1785069919.4854255,100.0,7847.0,351.24
1785069920.5237079,76.0,24877.0,226.0
1785069921.5624015,100.0,24877.0,286.28
